sn,Comments,Labels
7148,"Waiting time very short.

Courteous service.","Phone Experience ,Representative "
7149,Waited 3 days to talk to a human!!!  No one phoned back even though i left my number numerous times!!!  Next time I needed to contact a person a person at ABC  the system was down!  Brutal customer service!!!,"Brand ,Phone Experience ,Phone Experience "
7150,Giving you a chance to establish credit while traditional banks deny you,"Life Events ,Policy "
7151,I have found that having a  ABC Master Card has been easy.  Staff are helpful and professional with any questions or problems.  I have been kept up to date with everything concerning my account.,"Representative ,Representative "
7152," ABC is a great opportunity to rebuild credit and for that reason alone I would definitely recommend the company.  You also have various products to help clients which again is a plus wanting me to recommend you.

Customer service however is not your strong suit, or maybe so in my case.  I have been dealing with the same issue for over 2 months and it still hasn't been rectified.  To make matters worse, when I ask for the reason as to why it is taking so long, information is not provided.  It is a very frustrating situation.  In a world where businesses are online and asking for clients to ""go online"" or to be ""self serving"", I can't do that because there is a problem with my profile and there seems to be absolutely no one to help.

I'm thankful for the product; I just wish the customer service matched it.","Brand ,Customer Service ,Issue Resolution ,Issue Resolution ,Life Events ,Policy ,Representative "
7153, ABC gave me a credit card when I stupendly  ruined my credit limit. Thank you!,"Policy ,Terms "
7154,Always friendly service and good interest rates.,"Customer Service ,Representative ,Terms "
7155,"can manage to get a rep that speakers English,",Representative 
7156,Great service! Love my  ABC card. Thank you,"Brand ,Customer Service "
7157,She didnt at any point understand the question. She has created a new problem. The original problem was not resolved.,"Issue Resolution ,Issue Resolution ,Representative ,Representative "
7158,"My card was $17 over limit due to interest and I had made a payment, but you wouldn’t activate my new card? That’s ridiculous in my opinion, you can see my great record of always making well more than my minimum payment. That should most definitely be taken into consideration. It would be understandable if payment was late... but it never has been. 
Otherwise, I was happy with the call.","Credit/Debit Card ,Payments ,Payments ,Terms ,Terms "
7159,customer representatives are very accommodating and always help you with all your questions.,Representative 
7160,Terrible customer service,"Customer Service ,Representative "
7161,I have had my account for about 7 years now and I am 100% satisfied with the service I receive on a regular basis.,"Brand ,Customer Service "
7162,polite and very helpful,"Representative ,Representative "
7163,excellent customer service,Customer Service 
7164,Issue not resolved and continues to be a problem today,"Issue Resolution ,Issue Resolution ,Representative "
7165,"The website access online has become a pain as my origina number provided for texts is no longer acceptable. Not sure how my number can be used by any other. The solution was not very palatable.

Some other cards have competitive points and encashing them has more value than  ABC card but the process of converting points to cash is very comfortable and easy with  ABC.","Representative ,Reward Redemption ,Rewards ,Website "
7166,Speedy response to calls. Least wasted time and I don’t have to follow menu after menu after menu and so on to get service.  Get my questions dealt with until I’m satisfied. Overall I’m satisfied with every call’s response.  Thanks to everyone who have helped me with my needs of service with my credit card.,"Phone Experience ,Phone Experience ,Representative "
